
> my-v0-project@0.1.0 dev
> next dev

 ⚠ Port 3000 is in use, trying 3001 instead.
   ▲ Next.js 15.2.4
   - Local:        http://localhost:3001
   - Network:      http://10.64.129.82:3001

 ✓ Starting...
 ✓ Ready in 3.8s
 ○ Compiling / ...
 ✓ Compiled / in 13.8s (1045 modules)
 GET / 200 in 15128ms
 ✓ Compiled in 2.1s (477 modules)
 ✓ Compiled in 724ms (477 modules)
 ✓ Compiled in 585ms (477 modules)
 ✓ Compiled in 752ms (477 modules)
 ✓ Compiled in 736ms (477 modules)
 ✓ Compiled in 796ms (477 modules)
 ✓ Compiled in 587ms (477 modules)
 ✓ Compiled in 573ms (477 modules)
 ✓ Compiled in 690ms (477 modules)
 ✓ Compiled in 688ms (477 modules)
 ✓ Compiled in 704ms (477 modules)
 ✓ Compiled in 605ms (477 modules)
 ✓ Compiled in 1096ms (477 modules)
 ✓ Compiled in 624ms (477 modules)
 ✓ Compiled in 779ms (477 modules)
 ✓ Compiled in 584ms (477 modules)
 ✓ Compiled in 497ms (477 modules)
 ✓ Compiled in 697ms (477 modules)
 ✓ Compiled in 513ms (477 modules)
 ✓ Compiled in 454ms (477 modules)
 ✓ Compiled in 626ms (477 modules)
 ✓ Compiled in 505ms (477 modules)
 ✓ Compiled in 519ms (477 modules)
 ✓ Compiled in 673ms (477 modules)
 ○ Compiling /marketplace ...
 ✓ Compiled /marketplace in 8.6s (1096 modules)
 GET /marketplace 200 in 9822ms
 ✓ Compiled in 1785ms (494 modules)
 ✓ Compiled in 697ms (494 modules)
 ✓ Compiled in 590ms (494 modules)
 ✓ Compiled in 526ms (494 modules)
 ✓ Compiled in 694ms (494 modules)
 ✓ Compiled in 391ms (494 modules)
 ✓ Compiled in 577ms (494 modules)
 ✓ Compiled in 614ms (494 modules)
 ✓ Compiled in 479ms (494 modules)
 ✓ Compiled in 517ms (494 modules)
 ✓ Compiled in 578ms (494 modules)
 ✓ Compiled in 418ms (494 modules)
 ✓ Compiled in 627ms (494 modules)
 ✓ Compiled in 467ms (494 modules)
 ✓ Compiled in 479ms (494 modules)
 ✓ Compiled in 535ms (494 modules)
 ✓ Compiled in 511ms (494 modules)
 ✓ Compiled in 605ms (494 modules)
 ✓ Compiled in 592ms (494 modules)
 ✓ Compiled in 506ms (494 modules)
 ✓ Compiled in 624ms (494 modules)
 ✓ Compiled in 1393ms (494 modules)
 ✓ Compiled in 623ms (494 modules)
 ✓ Compiled in 701ms (494 modules)
 ✓ Compiled in 526ms (494 modules)
 ✓ Compiled in 572ms (494 modules)
 ✓ Compiled in 601ms (494 modules)
 ✓ Compiled in 413ms (494 modules)
 ✓ Compiled in 620ms (494 modules)
 ✓ Compiled in 482ms (494 modules)
 ✓ Compiled in 498ms (494 modules)
 ✓ Compiled in 565ms (494 modules)
 ✓ Compiled in 537ms (494 modules)
 ✓ Compiled in 408ms (494 modules)
 ✓ Compiled in 622ms (494 modules)
 ✓ Compiled in 463ms (494 modules)
 ✓ Compiled in 563ms (494 modules)
 ✓ Compiled in 626ms (494 modules)
 ✓ Compiled in 503ms (494 modules)
 ✓ Compiled in 514ms (494 modules)
 ✓ Compiled in 622ms (494 modules)
 ✓ Compiled in 563ms (494 modules)
 ✓ Compiled in 1243ms (494 modules)
 ✓ Compiled in 486ms (494 modules)
 ✓ Compiled in 534ms (494 modules)
 ✓ Compiled in 628ms (494 modules)
 ✓ Compiled in 487ms (494 modules)
 ✓ Compiled in 499ms (494 modules)
 ✓ Compiled in 518ms (494 modules)
 ✓ Compiled in 486ms (494 modules)
 ✓ Compiled in 599ms (494 modules)
 ✓ Compiled in 465ms (494 modules)
 ✓ Compiled in 455ms (494 modules)
 ✓ Compiled in 538ms (494 modules)
 ✓ Compiled in 488ms (494 modules)
 ✓ Compiled in 576ms (494 modules)
 ✓ Compiled in 610ms (494 modules)
 ✓ Compiled in 480ms (494 modules)
 ✓ Compiled in 607ms (494 modules)
 ✓ Compiled in 495ms (494 modules)
 ✓ Compiled in 516ms (494 modules)
 ✓ Compiled in 613ms (494 modules)
 ✓ Compiled in 582ms (494 modules)
 ✓ Compiled in 1024ms (494 modules)
 ✓ Compiled in 553ms (494 modules)
 ✓ Compiled in 679ms (494 modules)
 ✓ Compiled in 540ms (494 modules)
 ✓ Compiled in 476ms (494 modules)
 ✓ Compiled in 615ms (494 modules)
 ✓ Compiled in 412ms (494 modules)
 ✓ Compiled in 529ms (494 modules)
 ✓ Compiled in 478ms (494 modules)
 ✓ Compiled in 453ms (494 modules)
 ✓ Compiled in 613ms (494 modules)
 ✓ Compiled in 418ms (494 modules)
 ✓ Compiled in 527ms (494 modules)
 ✓ Compiled in 578ms (494 modules)
 ✓ Compiled in 466ms (494 modules)
 ✓ Compiled in 534ms (494 modules)
 ✓ Compiled in 483ms (494 modules)
 ✓ Compiled in 468ms (494 modules)
 ✓ Compiled in 619ms (494 modules)
 ✓ Compiled in 502ms (494 modules)
 ✓ Compiled in 515ms (494 modules)
 ✓ Compiled in 1029ms (494 modules)
 ✓ Compiled in 653ms (494 modules)
 ✓ Compiled in 408ms (494 modules)
 ✓ Compiled in 624ms (494 modules)
 ✓ Compiled in 497ms (494 modules)
 ✓ Compiled in 475ms (494 modules)
 ✓ Compiled in 628ms (494 modules)
 ✓ Compiled in 383ms (494 modules)
 ✓ Compiled in 554ms (494 modules)
 ✓ Compiled in 463ms (494 modules)
 ✓ Compiled in 3.9s (494 modules)
 ✓ Compiled in 608ms (494 modules)
 ✓ Compiled in 531ms (494 modules)
 ✓ Compiled in 647ms (494 modules)
 ✓ Compiled in 541ms (494 modules)
 ✓ Compiled in 539ms (494 modules)
 ✓ Compiled in 655ms (494 modules)
